field1,field2,field3,field4,field5,_GC_TYPE,_X,_Y
광주광역시,광산구,첨단월봉로 99,광주광역시 광산구 첨단월봉로 99,한국보훈복지의료공단 대구보훈병원,정,126.84809381738287,35.20803356699697
부산광역시,사상구,백양대로 420,부산광역시 사상구 백양대로 420,한국보훈복지의료공단 부산보훈병원,정,129.0077945806234,35.15385770624443
서울특별시,종로구,대학로 101,서울특별시 종로구 대학로 101,서울대학교치과병원,정,126.99835383315136,37.578547479920125
부산광역시,해운대구,세실로186,부산광역시 해운대구 세실로186,국군부산병원,유,129.17668809255755,35.18039745720161
서울특별시,강동구,진황도로 61길 53,서울특별시 강동구 진황도로 61길 53,한국보훈복지의료공단 중앙보훈병원,정,127.14720614579596,37.52818853622158
대구광역시,달서구,월곡로 60,대구광역시 달서구 월곡로 60,광주보훈병원,정,128.55171210620003,35.802829197638665
광주광역시,북구,용봉로 33,광주광역시 북구 용봉로 33,전남대학교치과병원,정,126.90053465673395,35.17189395182275
경기도,포천시,화현면 화동로 564,경기도 포천시 화현면 화동로 564,국군일동병원,정,127.310361382707,37.91597797677663
대전광역시,대덕구,대청로 82번길 147,대전광역시 대덕구 대청로 82번길 147,대전보훈병원,정,127.4396937373373,36.44731633387456
전라남도,화순군,화순읍 서양로 322,전라남도 화순군 화순읍 서양로 322,화순전남대학교병원,정,127.00321914426334,35.06107611898164
강원도,원주시,소초면 북원로 3223번지,강원도 원주시 소초면 북원로 3223번지,국군원주의원,유,127.96631646006428,37.42656104926311
경기도,성남시,분당구 새마을로 177번길 81,경기도 성남시 분당구 새마을로 177번길 81,국군수도병원,유,127.15091056753339,37.38950866690928
경기도,양주시,은현면 화합로 1133,경기도 양주시 은현면 화합로 1133,국군양주병원,유,127.04115555441986,37.85136022734331
강원도,춘천시,방고개길 57번,강원도 춘천시 방고개길 57번,국군춘천병원,유,127.7297481993441,37.93822629226092
경기도,고양시,덕양구 혜음로 215,경기도 고양시 덕양구 혜음로 215,국군고양병원,정,126.89809652613438,37.71938053072631
서울특별시,종로구,삼청로10길 13,서울특별시 종로구 삼청로10길 13,서울지구병원,유,126.98200921613825,37.587867997160075
경기도,가평군,청평면 경춘로 926,경기도 가평군 청평면 경춘로 926,국군청평병원,유,127.42696838639397,37.74569181683995
강원도,홍천군,두촌면 아홉사리로 43,강원도 홍천군 두촌면 아홉사리로 43,국군홍천병원,정,127.99646405172108,37.804185492062366
대구광역시,서구,평리로 157,대구광역시 서구 평리로 157,대구의료원,정,128.53854215123826,35.8596760638563
경상북도,경산시,하양읍 은호리 대경로 425-41,경상북도 경산시 하양읍 은호리 대경로 425-41,국군대구병원,정,128.78834738817127,35.90088328633161
충청북도,청원군,남일면 단재로 635 사서함 335-21호,충청북도 청원군 남일면 단재로 635 사서함 335-21호,공군항공우주의료원,대,127.50921842771814,36.71256004063435
대전광역시,유성구,자운로 90,대전광역시 유성구 자운로 90,국군대전병원,유,127.34692456139224,36.39842460756805
강원도,강릉시,주문진읍 동해대로 4371-34,강원도 강릉시 주문진읍 동해대로 4371-34,국군강릉병원,정,128.83097465958204,37.86881345253765
경상남도,창원시,진해구 진해대로 963해군해양의료원,경상남도 창원시 진해구 진해대로 963해군해양의료원,해군해양의료원,유,128.70688856685328,35.143746903549946
충청남도,논산시,"연무읍 득안대로 450-8, 사서함76-16호","충청남도 논산시 연무읍 득안대로 450-8, 사서함76-16호",육군훈련소 지구병원,정,127.09965665993236,36.110894883935245
전라남도,함평군,해보면 신해로 1027,전라남도 함평군 해보면 신해로 1027,국군함평병원,정,126.58884136330556,35.181350317687006
경상북도,포항시,남구 오천읍 충무로 70 사서함 209-141호,경상북도 포항시 남구 오천읍 충무로 70 사서함 209-141호,해군포항병원,유,129.41677528469432,35.976001856420204
충청남도,계룡시,신도안면 부남리 사서함 501-37호,충청남도 계룡시 신도안면 부남리 사서함 501-37호,계룡대지구병원,대,127.21424528105238,36.319304630974784
대구광역시,서구,와룡로 298-13번지,대구광역시 서구 와룡로 298-13번지,대구광역시 서부노인전문병원,정,128.5392217382977,35.85972788753589
강원도,양구군,양구읍 금강산로 510 백두병원,강원도 양구군 양구읍 금강산로 510 백두병원,백두병원(21사단 의무대),유,127.99550444193058,38.12373191842818
경기도,양평군,양평읍 중앙로 260,경기도 양평군 양평읍 중앙로 260,국립교통재활병원,정,127.5178567294888,37.49038537029721
대전광역시,유성구,진잠옛로 135번길 87(학하동),대전광역시 유성구 진잠옛로 135번길 87(학하동),대전광역시립정신병원,정,127.30569071881726,36.33202588897529
대전광역시,동구,산내로 300(하소동),대전광역시 동구 산내로 300(하소동),대전광역시립제2노인전문병원,정,127.44046569150734,36.21255904593196
대구광역시,달성군,화원읍 명천로 58,대구광역시 달성군 화원읍 명천로 58,대구정신병원,정,128.50969903203182,35.805245011458105
인천광역시,연수구,원인재로 263,인천광역시 연수구 원인재로 263,인천적십자병원,정,126.68753661248105,37.41856765022094
대전광역시,유성구,유성대로 1422(방현동),대전광역시 유성구 유성대로 1422(방현동),대전광역시립제1노인전문병원,정,127.37347041906169,36.40513333570395
서울특별시,강북구,삼각산로 58 국립재활원,서울특별시 강북구 삼각산로 58 국립재활원,국립재활원,정,127.01145871916606,37.639174399022984
대구광역시,수성구,유니버시아드로 365,대구광역시 수성구 유니버시아드로 365,대구광역시 시지노인전문병원,정,128.71036320032226,35.82889445274884
경상북도,상주시,상서문로 53,경상북도 상주시 상서문로 53,상주적십자병원,정,128.15530627280359,36.41445146441963
인천광역시,연수구,원인재로 263,인천광역시 연수구 원인재로 263,경인의료재활센터병원,정,126.68753661248105,37.41856765022094
전라남도,나주시,산포면 세남로 1328-31번지,전라남도 나주시 산포면 세남로 1328-31번지,국립나주병원,정,126.82631182724548,35.00835399567249
서울특별시,종로구,새문안로 9,서울특별시 종로구 새문안로 9,서울적십자병원,정,126.96738597055143,37.56749742388842
대전광역시,유성구,진잠옛로 135번길 87(학하동),대전광역시 유성구 진잠옛로 135번길 87(학하동),대전광역시립정신병원,정,127.30569071881726,36.33202588897529
경상남도,통영시,중앙로 97,경상남도 통영시 중앙로 97,통영적십자병원,정,128.41988570650068,34.842384028795294
서울특별시,중구,을지로 245,서울특별시 중구 을지로 245,국립중앙의료원,정,127.006271863833,37.56802248681253
경상남도,창녕군,부곡면 부곡로 145,경상남도 창녕군 부곡면 부곡로 145,국립부곡병원,정,128.61233825126192,35.4362867289041
서울특별시,광진구,용마산로 127,서울특별시 광진구 용마산로 127,국립정신건강센터,정,127.08577678685391,37.56508605923995
서울특별시,노원구,노원로 75,서울특별시 노원구 노원로 75,한국원자력의학원원자력병원,정,127.0818105437995,37.628267224986445
강원도,춘천시,영서로 824,강원도 춘천시 영서로 824,국립춘천병원,정,127.76661489277815,37.77144045787563
부산광역시,사상구,학감대로 39번길 104-36,부산광역시 사상구 학감대로 39번길 104-36,부산시립정신병원,정,128.99511645123755,35.132874603823744
서울특별시,은평구,백련산로 90(응암동),서울특별시 은평구 백련산로 90(응암동),서울특별시 은평병원,정,126.92376294414464,37.594205743542474
경기도,고양시,일산동구 일산로 100,경기도 고양시 일산동구 일산로 100,국민건강보험공단 일산병원,정,126.7930402400958,37.64547576936719
대전광역시,유성구,진잠옛로 135번길 87(학하동),대전광역시 유성구 진잠옛로 135번길 87(학하동),대전광역시립정신병원,정,127.30569071881726,36.33202588897529
부산광역시,북구,함박봉로 98,부산광역시 북구 함박봉로 98,부산노인전문제1병원,정,129.02820536397942,35.20614858289911
서울특별시,강남구,봉은사로114길 43,서울특별시 강남구 봉은사로114길 43,서울특별시 서울의료원 강남분원,정,127.06625831620902,37.51203707611748
부산광역시,연제구,월드컵대로 359,부산광역시 연제구 월드컵대로 359,부산노인전문제2병원,정,129.05741771026027,35.18750711993748
전라남도,고흥군,도양읍 소록해안길 65,전라남도 고흥군 도양읍 소록해안길 65,국립소록도병원,정,127.12091584200222,34.510942227263435
경기도,고양시,일산동구 일산로 323번지,경기도 고양시 일산동구 일산로 323번지,국립암센터,정,126.78339789305764,37.66322687176524
경기도,남양주시,수동면 외방로 172번길 58,경기도 남양주시 수동면 외방로 172번길 58,서울특별시 축령정신병원,정,127.31023717458768,37.739494847768235
서울특별시,동대문구,무학로 124,서울특별시 동대문구 무학로 124,서울특별시 동부병원,정,127.03151312617308,37.57535416122787
부산광역시,해운대구,해운대로 469번 가길77(우동),부산광역시 해운대구 해운대로 469번 가길77(우동),부산노인전문제3병원,정,129.14749224493778,35.16832378015256
서울특별시,동작구,보라매로5길 20,서울특별시 동작구 보라매로5길 20,서울특별시 보라매병원,정,126.92421374725467,37.493094707020205
서울특별시,중랑구,신내로 156,서울특별시 중랑구 신내로 156,서울특별시 서울의료원,정,127.09873231346052,37.61307887610185
경상남도,거창군,거창읍 중앙로 91,경상남도 거창군 거창읍 중앙로 91,거창적십자병원,정,127.90913734833896,35.68652059120158
대전광역시,유성구,진잠옛로 135번길 87(학하동),대전광역시 유성구 진잠옛로 135번길 87(학하동),대전광역시립정신병원,정,127.30569071881726,36.33202588897529
인천광역시,동구,방축로 217,인천광역시 동구 방축로 217,인천광역시의료원,정,126.66866435707946,37.478815141175154
서울특별시,양천구,신정이펜1로 20(신정동),서울특별시 양천구 신정이펜1로 20(신정동),서울특별시 서남병원,정,126.83313164551598,37.51202083918024
부산광역시,동매로,44번길 4,부산광역시 동매로 44번길 4,부산노인전문 제4병원,정,128.96306083895203,35.10242307051563
경기도,남양주시,수동면 외방로 172번길 58,경기도 남양주시 수동면 외방로 172번길 58,서울특별시 축령정신병원,정,127.31023717458768,37.739494847768235
경기도,고양시,덕양구 통일로 1102번길 46,경기도 고양시 덕양구 통일로 1102번길 46,고양정신병원,정,126.85434109576944,37.71122281585809
서울특별시,송파구,송이로 123,서울특별시 송파구 송이로 123,경찰병원,정,127.12348774470894,37.49641448091862
충청남도,공주시,고분티로 623-21,충청남도 공주시 고분티로 623-21,국립공주병원,정,127.10893866634983,36.40245323494519
서울특별시,성동구,마장로 207,서울특별시 성동구 마장로 207,서울특별시 장애인치과병원,정,127.03281068849658,37.566711770509286
부산광역시,기장군,장안읍 좌동길 40,부산광역시 기장군 장안읍 좌동길 40,동남권원자력의학원,정,129.24433077984327,35.32184339954784
전라남도,강진군,강진읍 탐진로 5번지,전라남도 강진군 강진읍 탐진로 5번지,전라남도 강진의료원,정,126.75814076562402,34.63749930890818
대전광역시,유성구,진잠옛로 135번길 87(학하동),대전광역시 유성구 진잠옛로 135번길 87(학하동),대전광역시립정신병원,정,127.30569071881726,36.33202588897529
